event_type,timestamp,callback_index,outdoor_temp_c,zone_temp_c,primary_zone,electricity_demand_w,interval_kwh,cumulative_kwh,action_json,reasoning,zone_temp_Core_ZN,zone_temp_Perimeter_ZN_1,zone_temp_Perimeter_ZN_2,zone_temp_Perimeter_ZN_3,zone_temp_Perimeter_ZN_4
sensor,1979-06-24 06:13,1332,12.15,23.62812234149787,Core_ZN,2262.7114787056394,0.3771185797842732,522.8494227108314,,,23.62812234149787,23.070923497902662,24.000007202809307,23.56654220523438,23.587085659857657
sensor,1979-06-24 06:23,1333,12.600000000000001,23.37158507845673,Core_ZN,2283.7477304668096,0.38062462174446826,523.2300473325759,,,23.37158507845673,22.835580618102018,24.000043669052637,23.31581045873225,23.408711653255068
sensor,1979-06-24 06:33,1334,13.05,23.260849201690633,Core_ZN,2307.2639852949746,0.38454399754916246,523.614591330125,,,23.260849201690633,22.765698241115025,24.000029981518455,23.209674100751478,23.34952249309112
sensor,1979-06-24 06:43,1335,13.5,23.24391616020605,Core_ZN,2326.9869252975927,0.3878311542162654,524.0024224843413,,,23.24391616020605,22.789100553228426,24.000035942243763,23.17959024688465,23.365527015880524
sensor,1979-06-24 06:53,1336,13.95,23.271879491093642,Core_ZN,2344.7107957019352,0.39078513261698916,524.3932076169583,,,23.271879491093642,22.85600562027522,24.000042603733903,23.187887874875738,23.420015988756177
sensor,1979-06-24 06:63,1337,14.4,23.319726055539142,Core_ZN,2361.5271494739677,0.3935878582456612,524.7867954752039,,,23.319726055539142,22.94080481194589,24.00004919713232,23.216472762072012,23.491014583855865
sensor,1979-06-24 07:13,1338,14.683333333333334,23.803562321661566,Core_ZN,2585.7877709144677,0.43096462848574457,525.2177601036897,,,23.803562321661566,23.45473114143059,24.000013253676446,23.68676949166653,23.900343676225436
sensor,1979-06-24 07:23,1339,14.966666666666669,23.993484656327112,Core_ZN,2745.0605218202513,0.4575100869700419,525.6752701906597,,,23.993484656327112,23.906735871873895,23.99998909005235,23.99010339060237,23.994361704861646
sensor,1979-06-24 07:33,1340,15.25,23.999744612917624,Core_ZN,2865.4642034293056,0.4775773672382176,526.152847557898,,,23.999744612917624,23.996805144534854,23.999974279655774,23.99971548461987,23.9997682774686
sensor,1979-06-24 07:42,1341,15.533333333333335,23.999984395112524,Core_ZN,2965.676745044168,0.4942794575073613,526.6471270154053,,,23.999984395112524,24.00003183036247,24.00009458426777,24.000114700025136,24.000134028706917
sensor,1979-06-24 07:52,1342,15.816666666666666,23.999949573581816,Core_ZN,3051.2454378515476,0.5085409063085913,527.1556679217139,,,23.999949573581816,23.999989870360984,24.00007643797005,23.99998952047112,24.000055220929355
sensor,1979-06-24 07:62,1343,16.1,23.99994283922531,Core_ZN,3129.4739178936884,0.5215789863156147,527.6772469080295,,,23.99994283922531,23.99999449199867,24.00001198690629,23.999992975024313,23.999991064473388
sensor,1979-06-24 08:12,1344,16.383333333333333,23.999902202887707,Core_ZN,3204.8609205052308,0.5341434867508718,528.2113903947803,,,23.999902202887707,23.999963825208656,23.999874322306045,23.999960974645514,23.999961366669428
sensor,1979-06-24 08:23,1345,16.66666666666667,23.999889770015237,Core_ZN,3275.9626554147335,0.5459937759024556,528.7573841706828,,,23.999889770015237,23.999955449853758,23.999849589627136,23.999953018396617,23.99995563675457
sensor,1979-06-24 08:32,1346,16.950000000000003,23.99987955640993,Core_ZN,3341.391366763837,0.5568985611273062,529.3142827318102,,,23.99987955640993,23.999948071634428,23.999834020388427,23.999946377130353,23.9999517502756
sensor,1979-06-24 08:42,1347,17.233333333333334,23.999870048141176,Core_ZN,3404.488599926237,0.5674147666543727,529.8816974984645,,,23.999870048141176,23.99994106311827,23.999822354066186,23.99994059721736,23.999948337580488
sensor,1979-06-24 08:53,1348,17.516666666666666,23.999861094926953,Core_ZN,3462.026153285565,0.5770043588809275,530.4587018573454,,,23.999861094926953,23.99993521298503,23.999816991304883,23.99993473862894,23.999944810940868
sensor,1979-06-24 08:62,1349,17.8,23.999852718411283,Core_ZN,3516.425164100937,0.5860708606834895,531.0447727180289,,,23.999852718411283,23.999928919041505,23.999817434040462,23.99992868504872,23.999941042725805
sensor,1979-06-24 09:12,1350,17.983333333333334,23.999834105633383,Core_ZN,3554.387141215947,0.5923978568693244,531.6371705748982,,,23.999834105633383,23.99991332883603,23.999807091594914,23.9999140665601,23.999933292769697
sensor,1979-06-24 09:23,1351,18.166666666666668,23.999817213908543,Core_ZN,3589.3078666410333,0.5982179777735055,532.2353885526717,,,23.999817213908543,23.999898959541174,23.999802585352786,23.999901010501958,23.999926304249787
sensor,1979-06-24 09:32,1352,18.35,23.99980241743401,Core_ZN,3621.2813208441676,0.6035468868073612,532.8389354394791,,,23.99980241743401,23.99988552072542,23.99980205654314,23.999889064267517,23.9999200005632
sensor,1979-06-24 09:42,1353,18.53333333333333,23.999789319718168,Core_ZN,3644.547253899722,0.6074245423166202,533.4463599817957,,,23.999789319718168,23.999873635099444,23.99980853999318,23.999878754329103,23.999914524812603
sensor,1979-06-24 09:53,1354,18.716666666666665,23.999726648154983,Core_ZN,3664.113246413733,0.6106855410689555,534.0570455228647,,,23.999726648154983,23.999835877783568,23.999795355685656,23.999845071023636,23.999895601402642
sensor,1979-06-24 09:65,1355,18.9,23.99960090293825,Core_ZN,3682.4054993012082,0.6137342498835346,534.6707797727482,,,23.99960090293825,23.999754819334065,23.99975049195252,23.99977169483391,23.999852179740053
sensor,1979-06-24 10:15,1356,18.983333333333334,23.99955788265264,Core_ZN,3689.5473844886556,0.6149245640814426,535.2857043368297,,,23.99955788265264,23.99971380656352,23.999709071014443,23.9997342157179,23.99982317977816
sensor,1979-06-24 10:25,1357,19.066666666666666,23.999532198879347,Core_ZN,3697.1807607822316,0.6161967934637053,535.9019011302934,,,23.999532198879347,23.999697631573426,23.999714927504233,23.999722958122163,23.999814766166907
sensor,1979-06-24 10:30,1358,19.15,23.999278434606964,Core_ZN,3703.2775940470538,0.6172129323411756,536.5191140626346,,,23.999278434606964,23.999535591755844,23.99962668707026,23.999577654089926,23.999729803099417
sensor,1979-06-24 10:40,1359,19.23333333333333,23.999191185880054,Core_ZN,3717.945399724907,0.6196575666208178,537.1387716292554,,,23.999191185880054,23.999471242634918,23.999581124739514,23.99951859640547,23.99968837013614
